"闘","トウ, たたか.う, あらそ.う","fight, war"
"似","ジ, に.る, ひ.る","becoming, resemble, counterfeit, imitate, suitable"
"夕","セキ, ゆう","evening"
"恵","ケイ, エ, めぐ.む, めぐ.み","favor, blessing, grace, kindness"
"板","ハン, バン, いた","plank, board, plate, stage"
"列","レツ, レ","file, row, rank, tier, column"
"露","ロ, ロウ, つゆ","dew, tears, expose, Russia"
"沖","チュウ, おき, おきつ, ちゅう.する, わく","open sea, offing, rise high into sky"
"探","タン, さぐ.る, さが.す","grope, search, look for"
"逃","トウ, に.げる, に.がす, のが.す, のが.れる","escape, flee, shirk, evade, set free"
"借","シャク, か.りる","borrow, rent"
"緩","カン, ゆる.い, ゆる.やか, ゆる.む, ゆる.める","slacken, loosen, relax, lessen, be moderate, ease"
"節","セツ, セチ, ふし, -ぶし, のっと","node, season, period, occasion, verse, clause, stanza, honor, joint, knuckle, knob, knot, tune, melody"
"需","ジュ","demand, request, need"
"骨","コツ, ほね","skeleton, bone, remains, frame"
"射","シャ, い.る, さ.す, う.つ","shoot, shine into, onto, archery"
"傾","ケイ, かたむ.く, かたむ.ける, かたぶ.く, かた.げる, かし.げる","lean, incline, tilt, trend, wane, sink, ruin, bias"
"届","カイ, とど.ける, -とど.け, とど.く","deliver, reach, arrive, report, notify, forward"
"曜","ヨウ","weekday"
"遊","ユウ, ユ, あそ.ぶ, あそ.ばす","play"
"迷","メイ, まよ.う","astray, be perplexed, in doubt, lost, err, illusion"
"夢","ム, ボウ, ゆめ, ゆめ.みる, くら.い","dream, vision, illusion"
"巻","カン, ケン, ま.く, まき, ま.き","scroll, volume, book, part, roll up, wind up, tie, coil, counter for texts (or book scrolls)"
"購","コウ","subscription, buy"
"揮","キ, ふる.う","brandish, wave, wag, swing, shake"
"君","クン, きみ, -ぎみ","mister, you, ruler, male name suffix"
"燃","ネン, も.える, も.やす, も.す","burn, blaze, glow"
"充","ジュウ, あ.てる, み.たす","allot, fill"
"雨","ウ, あめ, あま-, -さめ","rain"
"閉","ヘイ, と.じる, と.ざす, し.める, し.まる, た.てる","closed, shut"
"緒","ショ, チョ, お, いとぐち","thong, beginning, inception, end, cord, strap, mental or emotional state"
"跡","セキ, あと","tracks, mark, print, impression"
"包","ホウ, つつ.む, くる.む","wrap, pack up, cover, conceal"
"駐","チュウ","stop-over, reside in, resident"
"貢","コウ, ク, みつ.ぐ","tribute, support, finance"
"鹿","ロク, しか, か","deer"
"弱","ジャク, よわ.い, よわ.る, よわ.まる, よわ.める","weak, frail"
"却","キャク, かえ.って, しりぞ.く, しりぞ.ける","instead, on the contrary, rather, step back, withdraw, retreat"
"端","タン, はし, は, はた, -ばた, はな","edge, origin, end, point, border, verge, cape"
"賃","チン","fare, fee, hire, rent, wages, charge"
"折","セツ, シャク, お.る, おり, お.り, -お.り, お.れる","fold, break, fracture, bend, yield, submit"
"紹","ショウ","introduce, inherit, help"
"獲","カク, え.る","seize, get, find, earn, acquire, can, may, able to"
"郡","グン, こおり","county, district"
"併","ヘイ, あわ.せる","join, get together, unite, collective"
"草","ソウ, くさ, くさ-, -ぐさ","grass, weeds, herbs, pasture, write, draft"
"徹","テツ","penetrate, clear, pierce, strike home, sit up (all night)"
"飲","イン, オン, の.む, -の.み","drink, smoke, take"
"貴","キ, たっと.い, とうと.い, たっと.ぶ, とうと.ぶ","precious, value, prize, esteem, honor"
"埼","キ, さき, さい, みさき","cape, spit, promontory"
"衝","ショウ, つ.く","collide, brunt, highway, opposition (astronomy), thrust, pierce, stab, prick"
"焦","ショウ, こ.げる, こ.がす, こ.がれる, あせ.る, じ.れる, じ.らす","char, hurry, impatient, irritate, burn, scorch, singe"
"奪","ダツ, うば.う","rob, take by force, snatch away, dispossess, plunder, usurp"
"雇","コ, やと.う","employ, hire"
"災","サイ, わざわ.い","disaster, calamity, woe, curse, evil"
