"渉","ショウ, わた.る","ford, go cross, transit, ferry, import, involve"
"響","キョウ, ひび.く","echo, sound, resound, ring, vibrate"
"請","セイ, シン, ショウ, こ.う, う.ける","solicit, invite, ask"
"攻","コウ, せ.める","aggression, attack, criticize, polish"
"崎","キ, さき, さい, みさき","promontory, cape, spit"
"督","トク","coach, command, urge, lead, supervise"
"催","サイ, もよう.す, もよお.す","sponsor, hold (a meeting), give (a dinner)"
"及","キュウ, およ.ぶ, およ.び, および, およ.ぼす","reach out, exert, exercise, cause"
"離","リ, はな.れる, はな.す","detach, separation, disjoin, digress"
"摘","テキ, つ.む","pinch, pick, pluck, trim, clip, summarize"
"郎","ロウ, リョウ, おとこ","son, counter for sons"
"振","シン, ふ.る, ふ.れる, ふ.るう","shake, wave, wag, swing"
"献","ケン, コン, たてまつ.る","offering, counter for drinks, present, offer"
"維","イ","fiber, tie, rope"
"浜","ヒン, はま","seacoast, beach, seashore"
"塁","ルイ, ライ, スイ, とりで","bases, fort, rampart, walls, base(ball)"
"邦","ホウ, くに","home country, country, Japan"
"遣","ケン, つか.う, -つか.い, -づか.い, つか.わす, や.る","dispatch, despatch, send, give, donate, do, undertake"
"抗","コウ, あらが.う","confront, resist, defy, oppose"
"雄","ユウ, お-, おす, おん","masculine, male, hero, leader, superiority, excellence"
"緊","キン, し.める, し.まる","tense, solid, hard, reliable, tight"
"廃","ハイ, すた.れる, すた.る","abolish, obsolete, cessation, discarding, abandon"
"伊","イ, かれ","Italy, that one"
"江","コウ, え","creek, inlet, bay"
"僚","リョウ","colleague, official, companion"
"吉","キチ, キツ, よし","good luck, joy, congratulations"
"踏","トウ, ふ.む, ふ.まえる","step, trample, carry through, appraise, evade payment"
"壊","カイ, エ, こわ.す, こわ.れる, やぶ.る","demolition, break, destroy"
"債","サイ","bond, loan, debt"
"儀","ギ","ceremony, rule, affair, case, a matter"
"継","ケイ, つ.ぐ, まま-","inherit, succeed, continue, patch, graft (tree)"
"闘","トウ, たたか.う, あらそ.う","fight, war"
"葬","ソウ, ほうむ.る","interment, bury, shelve"
"避","ヒ, さ.ける, よ.ける","evade, avoid, avert, ward off, shirk, shun"
"逮","タイ","apprehend, chase"
"迫","ハク, せま.る","urge, force, imminent, spur on"
"惑","ワク, まど.う","beguile, delusion, perplexity"
"崩","ホウ, くず.れる, -くず.れ, くず.す","crumble, die, demolish, level"
"聴","チョウ, テイ, き.く, ゆる.す","listen, headstrong, naughty, careful inquiry"
"脱","ダツ, ぬ.ぐ, ぬ.げる","undress, removing, escape from, get rid of, be left out, take off"
"締","テイ, し.まる, し.まり, し.める, -し.め, -じ.め","tighten, tie, shut, lock, fasten"
"執","シツ, シュウ, と.る","tenacious, take hold, grasp, take to heart"
"房","ボウ, ふさ","tassel, tuft, fringe, bunch, lock (hair), segment (orange), house, room"
"撤","テツ","remove, withdraw, disarm, dismantle, reject, exclude"
