"傑","ケツ, すぐ.れる","greatness, excellence"
"債","サイ","bond, loan, debt"
"催","サイ, もよう.す, もよお.す","sponsor, hold (a meeting), give (a dinner)"
"傷","ショウ, きず, いた.む, いた.める","wound, hurt, injure, impair, pain, injury, cut, gash, scar, weak point"
"僧","ソウ","Buddhist priest, monk"
"働","ドウ, はたら.く","work, (kokuji)"
"傭","ヨウ, チョウ, やと.う, あた.い, ひと.しい","employ, hire"
"傴","ク, ウ, かが.む, せむし","bend over, stoop, bow"
"傲","ゴウ, おご.る, あなど.る","be proud"
"僉","セン, みな","all"
"僊","セン","hermit"
"傳","テン, デン, つた.わる, つた.える, つた.う, つて","summon, propagate, transmit"
"僂","ロウ, ル, かが.む","bend over"
"僑","キョウ","expatriate, person living abroad, temporary home"
"像","ゾウ","statue, picture, image, figure, portrait"
"僕","ボク, しもべ","me, I (male), servant, manservant"
"僚","リョウ","colleague, official, companion"
"僖","キ, よろこ.ぶ","enjoyment, pleasure"
"僥","ギョウ, キョウ","luck, seek, desire"
"僭","シン, セン, せん.する, おご.る","boastfully usurp"
"僣","シン, セン, せん.する, おご.る","boastfully usurp"
"僮","トウ, ドウ, しもべ, わらべ","child, servant, foolishness"
"儁","シュン, すぐ.れる","excellence, talented person"
"億","オク","hundred million, 10**8"
"儀","ギ","ceremony, rule, affair, case, a matter"
"僻","ヘキ, ヒ, ヘイ, へき.する, ひが.む","prejudice, bias, rural area"
"舗","ホ","shop, store, pave"
"價","カ, ケ, あたい","price, value"
"僵","キョウ, たお.れる","fall down, collapse"
"儂","ドウ, ノウ, わし, かれ","I, my, he, his, me (used by old people)"
"儚","ボウ, モウ, はかな.い, くら.い","fleeting, fickle"
"儒","ジュ","Confucian"
"儘","ジン, まま, ことごとく","as it is, because"
"儕","セイ, サイ, ともがら","companion"
"儔","チュウ, ジュ, ともがら","companion, similar kind"
"償","ショウ, つぐな.う","reparation, make up for, recompense, redeem"
"儲","チョ, もう.ける, もう.かる, もうけ, たくわ.える","be profitable, yield profit"
"優","ユウ, ウ, やさ.しい, すぐ.れる, まさ.る","tenderness, excel, surpass, actor, superiority, gentleness"
"儡","ライ","defeat"
"儺","ナ, ダ, おにやらい","exorcism"
"儷","レイ, つれあい, ならぶ","companion"
"儼","ゲン, いかめ.しい, おごそか","serious, untouched, solemnly, majestically"
"儻","トウ, あるいは, すぐ.れる, もし","excel, surpass, if, perhaps"
