"鎖","サ, くさり, とざ.す","chain, irons, connection"
"陰","イン, かげ, かげ.る","shade, yin, negative, sex organs, secret, shadow"
"銘","メイ","inscription, signature (of artisan)"
"鋭","エイ, するど.い","pointed, sharpness, edge, weapon, sharp, violent"
"随","ズイ, まにま.に, したが.う","follow, though, notwithstanding, while, during, both, all, obey, submit to, comply, at the mercy of (the waves)"
"烈","レツ, はげ.しい","ardent, violent, vehement, furious, severe, extreme"
"尋","ジン, たず.ねる, ひろ","inquire, fathom, look for"
"渕","エン, カク, コウ, ふち, かた.い, はなわ","edge"
"稿","コウ, わら, したがき","draft, copy, manuscript, straw"
"枝","シ, えだ","bough, branch, twig, limb, counter for branches"
"丹","タン, に","rust-colored, red, red lead, pills, sincerity"
"啓","ケイ, ひら.く, さと.す","disclose, open, say"
"也","ヤ, エ, なり, か, また","to be (classical)"
"丘","キュウ, おか","hill, knoll"
"棟","トウ, むね, むな-","ridgepole, ridge"
"壌","ジョウ, つち","lot, earth, soil"
"漫","マン, みだり.に, そぞ.ろ","cartoon, involuntarily, unrestrained, in spite of oneself, corrupt"
"玄","ゲン, くろ, くろ.い","mysterious, occultness, black, deep, profound"
"粘","ネン, ねば.る","sticky, glutinous, greasy, persevere"
"悟","ゴ, さと.る","enlightenment, perceive, discern, realize, understand"
"舗","ホ","shop, store, pave"
"妊","ニン, ジン, はら.む, みごも.る","pregnancy"
"塗","ト, ぬ.る, ぬ.り, まみ.れる","paint, plaster, daub, smear, coating"
"熟","ジュク, う.れる","mellow, ripen, mature, acquire skill"
"軒","ケン, のき","flats, counter for houses, eaves"
"旭","キョク, あさひ","rising sun, morning sun"
"恩","オン","grace, kindness, goodness, favor, mercy, blessing, benefit"
"毒","ドク","poison, virus, venom, germ, harm, injury, spite"
"騰","トウ, あが.る, のぼ.る","leaping up, jumping up, rising, advancing, going"
"往","オウ, い.く, いにしえ, さき.に, ゆ.く","journey, travel, chase away, let go, going, before, formerly"
"豆","トウ, ズ, まめ, まめ-","beans, pea, midget"
"遂","スイ, と.げる, つい.に","consummate, accomplish, attain, commit (suicide)"
"晩","バン","nightfall, night"
"狂","キョウ, くる.う, くる.おしい, くるお.しい","lunatic, insane, crazy, confuse"
"叫","キョウ, さけ.ぶ","shout, exclaim, yell"
"栃","とち","horse chestnut, (kokuji)"
"岐","キ, ギ","branch off, fork in road, scene, arena, theater"
"陛","ヘイ","highness, steps (of throne)"
"緯","イ, よこいと, ぬき","horizontal, woof, left & right, (parallels of) latitude, prediction"
"培","バイ, つちか.う","cultivate, foster"
"衰","スイ, おとろ.える","decline, wane, weaken"
"艇","テイ","rowboat, small boat"
"屈","クツ, かが.む, かが.める","yield, bend, flinch, submit"
"径","ケイ, みち, こみち, さしわたし, ただちに","diameter, path, method"
"淡","タン, あわ.い","thin, faint, pale, fleeting"
"抽","チュウ, ひき-","pluck, pull, extract, excel"
"披","ヒ","expose, open"
"廷","テイ","courts, imperial court, government office"
"錦","キン, にしき","brocade, fine dress, honors"
"准","ジュン","quasi-, semi-, associate"
"暑","ショ, あつ.い","sultry, hot, summer heat"
"拝","ハイ, おが.む, おろが.む","worship, adore, pray to"
"磯","キ, いそ","seashore, beach"
"奨","ショウ, ソウ, すす.める","exhort, urge, encourage"
"妹","マイ, いもうと","younger sister"
"浸","シン, ひた.す, ひた.る, つ.かる","immersed, soak, dip, steep, moisten, wet, dunk"
"剰","ジョウ, あまつさえ, あま.り, あま.る","surplus, besides"
"胆","タン, きも","gall bladder, courage, pluck, nerve"
"氷","ヒョウ, こおり, ひ, こお.る","icicle, ice, hail, freeze, congeal"
"繊","セン","slender, fine, thin kimono"
"駒","ク, こま","pony, horse, colt"
"乾","カン, ケン, かわ.く, かわ.かす, ほ.す, ひ.る, いぬい","drought, dry, dessicate, drink up, heaven, emperor"
"虚","キョ, コ, むな.しい, うつ.ろ","void, emptiness, unpreparedness, crack, fissure, untruth"
"棒","ボウ","rod, stick, cane, pole, club, line"
"寒","カン, さむ.い","cold"
"孜","シ, つと.める","industriousness"
"霊","レイ, リョウ, たま","spirits, soul"
"帳","チョウ, とばり","notebook, account book, album, curtain, veil, net, tent"
"悔","カイ, く.いる, く.やむ, くや.しい","repent, regret"
"諭","ユ, さと.す","rebuke, admonish, charge, warn, persuade"
"祈","キ, いの.る","pray, wish"
"惨","サン, ザン, みじ.め, いた.む, むご.い","wretched, disaster, cruelty, harsh"
"虐","ギャク, しいた.げる","tyrannize, oppress"
"翻","ホン, ハン, ひるがえ.る, ひるがえ.す","flip, turn over, wave, flutter, change (mind)"
"墜","ツイ, お.ちる, お.つ","crash, fall (down)"
"沼","ショウ, ぬま","marsh, lake, bog, swamp, pond"
"据","キョ, す.える, す.わる","set, lay a foundation, install, equip, squat down, sit down"
"肥","ヒ, こ.える, こえ, こ.やす, こ.やし, ふと.る","fertilizer, get fat, fertile, manure, pamper"
"徐","ジョ, おもむ.ろに","gradually, slowly, deliberately, gently"
"糖","トウ","sugar"
"搭","トウ","board, load (a vehicle), ride"
"姉","シ, あね, はは","elder sister"
"髪","ハツ, かみ","hair of the head"
"忙","ボウ, モウ, いそが.しい, せわ.しい, おそ.れる, うれえるさま","busy, occupied, restless"
"盾","ジュン, たて","shield, escutcheon, pretext"
"脈","ミャク, すじ","vein, pulse, hope"
"滝","ロウ, ソウ, たき","waterfall, rapids, cascade"
"拾","シュウ, ジュウ, ひろ.う","pick up, gather, find, go on foot, ten"
"軌","キ","rut, wheel, track, model, way of doing"
"俵","ヒョウ, たわら","bag, bale, sack, counter for bags"
"妨","ボウ, さまた.げる","disturb, prevent, hamper, obstruct"
"盧","ロ","hut"
"粉","フン, デシメートル, こ, こな","flour, powder, dust"
"擦","サツ, す.る, す.れる, -ず.れ, こす.る, こす.れる","grate, rub, scratch, scrape, chafe, scour"
"鯨","ゲイ, くじら","whale"
"漢","カン","Sino-, China"
"糸","シ, いと","thread"
"荘","ソウ, ショウ, チャン, ほうき, おごそ.か","villa, inn, cottage, feudal manor, solemn, dignified"
"諾","ダク","consent, assent, agreement"
"雷","ライ, かみなり, いかずち, いかづち","thunder, lightning bolt"
"漂","ヒョウ, ただよ.う","drift, float (on liquid)"
"懐","カイ, エ, ふところ, なつ.かしい, なつ.かしむ, なつ.く, なつ.ける, なず.ける, いだ.く, おも.う","feelings, heart, yearn, miss someone, become attached to, bosom, breast, pocket"
"勘","カン","intuition, perception, check, compare, sixth sense"
"綿","メン, わた","cotton"
"栽","サイ","plantation, planting"
"才","サイ","genius, years old, cubic shaku"
"拐","カイ","kidnap, falsify"
"笠","リュウ, かさ","bamboo hat, one's influence"
