"伊","イ, かれ","Italy, that one"
"湛","タン, チン, ジン, セン, しず.む, たた.える","fill, wear (a smile), clear, pure, dense, deep"
"挺","チョウ, テイ, ぬ.く","bravely volunteer, counter for guns, inksticks, palanquins, rickshaws"
"嵯","サ, シ","steep, craggy, rugged"
"雁","ガン, かり, かりがね","wild goose"
"佃","テン, デン, つくだ","cultivated rice field"
"綜","ソウ, おさ.める, す.べる","rule, synthesize"
"翠","スイ, かわせみ, みどり","green, kingfisher"
"鮎","デン, ネン, あゆ, なまず","freshwater trout, smelt"
"播","ハ, バン, ハン, ま.く","plant, sow"
"榛","シン, ハン, はしばみ, はり","hazelnut, filbert"
"帖","チョウ, ジョウ, かきもの","quire (of paper), bundle of seaweed, counter for screens, notebook"
"桶","ヨウ, トウ, おけ","tub, bucket"
"惣","ソウ, すべ.て","all"
"鞍","アン, くら","saddle"
"蔦","チョウ, つた","vine, ivy"
"萱","ケン, かや, かんぞう","miscanthus reed"
"梯","テイ, タイ, はしご","ladder, stairs, insatiable drinking"
"雫","ダ, しずく","drop, trickle, dripping, (kokuji)"
"絆","ハン, きずな, ほだ.す, つな.ぐ","bonds, fetters"
"湊","ソウ, みなと, あつ.まる","port, harbor"
"隼","シュン, ジュン, はやぶさ","falcon"
"舵","ダ, タ, かじ","rudder, helm, wheel"
"渚","ショ, なぎさ","strand, beach, shore"
"珂","カ","jewel"
"稀","キ, ケ, まれ, まばら","rare, phenomenal, dilute (acid)"
"峨","ガ, けわ.しい","high mountain"
"芙","フ","lotus, Mt Fuji"
"皐","コウ, さつき","swamp, shore, fifth month"
"雛","スウ, ス, ジュ, ひな, ひよこ","chick, squab, duckling, doll"
"惟","イ, ユイ, おも.んみる, これ, おも.うに","consider, reflect, think"
"宕","トウ, すぎる","cave"
"喧","ケン, やかま.しい, かまびす.しい","noisy, boisterous"
"佑","ユウ, ウ, たす.ける","help, assist"
"樟","ショウ, くす","camphor"
"耀","ヨウ, かがや.く, ひかり","shine, sparkle, gleam, twinkle"
"黛","タイ, まゆずみ","blackened eyebrows"
"櫛","シツ, くし, くしけず.る","comb"
"渥","アク, あつ.い, うるお.う","kindness, moisten"
"濡","ジュ, ニュ, ぬれ.る, ぬら.す, ぬ.れる, ぬ.らす, うるお.い, うるお.う, うるお.す","get wet, damp, make love"
"槍","ソウ, ショウ, やり","spear, lance, javelin"
"惇","シュン, ジュン, トン, あつ.い","sincere, kind, considerate"
"脩","シュウ, おさ.める, なが.い, ほじし","dried meat"
"甫","ホ, フ, はじ.めて","for the first time, not until"
"壕","コウ, ゴウ, ほり","trench, dugout, air raid shelter"
"嬉","キ, うれ.しい, たの.しむ","glad, pleased, rejoice"
"蒼","ソウ, あお.い","blue, pale"
"粥","イク, シュク, ジュク, かゆ, かい, ひさ.ぐ","rice gruel"
"暉","キ, かが.やく","shine, light"
"捧","ホウ, ささ.げる","lift up, give, offer, consecrate, sacrifice, dedicate"
"只","シ, ただ","only, free, in addition"
"檀","ダン, タン, まゆみ","cedar, sandalwood, spindle tree"
"凱","ガイ, カイ, かちどき, やわらぐ","victory song"
"彗","スイ, エ, ケイ, セイ, ほうき","comet, broom"
"樫","かし","evergreen oak, (kokuji)"
"噂","ソン, うわさ","rumor, gossip, hearsay"
"梓","シ, あずさ","catalpa tree, woodblock printing"
"洛","ラク","Kyoto, the capital"
"醍","ダイ, タイ, テイ","whey, good Buddhist teaching"
"砦","サイ, とりで","fort, stronghold, entrenchments"
"丑","チュウ, うし","sign of the ox or cow, 1-3AM, second sign of Chinese zodiac"
"蕨","ケツ, わらび","bracken, fernbrake"
"隈","ワイ, エ, くま, すみ","corner, nook, recess"
"叶","キョウ, かな.える, かな.う","grant, answer"
"汐","セキ, しお, うしお, せい","eventide, tide, salt water, opportunity"
"絢","ケン","brilliant fabric design"
"朔","サク, ついたち","conjunction (astronomy), first day of month, north"
"伽","カ, ガ, キャ, ギャ, とぎ","nursing, attending, entertainer"
"夷","イ, えびす, えみし, ころ.す, たい.らげる","barbarian, savage, Ainu"
"杭","コウ, くい","stake, post, picket"
"寓","グウ, グ, ドウ, ぐう.する, かこつ.ける, よ.せる, よ.る, かりずまい","temporary abode, imply, suggest"
"黎","レイ, リ, くろ.い","dark, black, many"
"坐","ザ, サ, すわ.る, おわす, そぞろに, まします","sit"
"塙","カク, コウ, はなわ, かた.い","projecting tableland or mountain"
"冴","ゴ, コ, さ.える, こお.る, ひ.える","be clear, serene, cold, skilful"
"葦","イ, あし, よし, しお.れる, しな.びる, しぼ.む, な.える","reed, bullrush"
"萌","ホウ, も.える, きざ.す, めばえ, きざ.し","show symptoms of, sprout, bud, malt"
"饗","キョウ, う.ける, もてな.す","banquet"
"偲","サイ, シ, しの.ぶ","recollect, remember"
"漕","ソウ, こ.ぐ, はこ.ぶ","rowing, scull, paddle"
"杵","ショ, ソ, きね","wooden pestle"
"允","イン, じょう, まこと.に, ゆるす","license, sincerity, permit"
"蒙","モウ, ボウ, こうむ.る, おお.う, くら.い","ignorance, darkness, get, receive, be subjected to, sustain, Mongolia"
"蕃","バン, ハン","grow luxuriously"
"碓","カク, タイ, たし.か, かく.たる","pestle"
"瀕","ヒン, ほとり","shore, brink, verge"
"蒔","シ, ジ, う.える, ま.く","sow (seeds)"
"鯉","リ, こい","carp"
"竪","ジュ, たて, た.てる, こども","length, height, warp"
"遥","ヨウ, はる.か","far off, distant, long ago"
"或","ワク, コク, イキ, あ.る, あるい, あるいは","some, one, or, possibly, a certain"
"矩","ク, かね, かねざし, さしがね","ruler, carpenter's square"
"舜","シュン","type of morning glory, rose of Sharon, althea"
"杖","ジョウ, つえ","staff, cane"
"瑛","エイ","sparkle of jewelry, crystal"
"彪","ヒョウ, ヒュウ, あや","spotted, mottled, patterned, small tiger"
"卯","ボウ, モウ, う","sign of the hare or rabbit, fourth sign of Chinese zodiac, 5-7AM, east"
"撫","ブ, フ, な.でる","stroke, pat, smooth down"
"喋","チョウ, トウ, しゃべ.る, ついば.む","talk, chat, chatter"
"溢","イツ, こぼ.れる, あふ.れる, み.ちる","overflow, inundate, spill"
"揃","セン, そろ.える, そろ.う, そろ.い, き.る","be complete, uniform, all present"
"綺","キ, あや","figured cloth, beautiful"
"巷","コウ, ちまた","fork in road, scene, arena, theater"
"竿","カン, さお","pole, rod, scale beam, violin neck"
"蟹","カイ, かに","crab"
"茜","セン, あかね","madder, red dye, Turkey red"
"凌","リョウ, しの.ぐ","endure, keep (rain)out, stave off, tide over, defy, slight, surpass"
"厨","シュウ, ズ, チュ, チュウ, くりや","kitchen"
"犀","サイ, セイ","rhinoceros"
"皓","コウ, しろ.い, ひか.る","white, clear"
"洸","コウ","sparkling water"
"毬","キュウ, いが, まり","burr, ball"
"叢","ソウ, ス, くさむら, むら.がる, むら","plexus, clump of bushes, thicket"
"轟","ゴウ, コウ, とどろ.かす, とどろ.く","roar, thunder, boom resound"
"貰","セイ, シャ, もら.う","get, have, obtain"
"儲","チョ, もう.ける, もう.かる, もうけ, たくわ.える","be profitable, yield profit"
"緋","ヒ, あけ, あか","scarlet, cardinal"
"鯛","チョウ, たい","sea bream, red snapper"
"怜","レイ, レン, リョウ, あわ.れむ, さと.い","wise"
"溜","リュウ, た.まる, たま.る, た.める, したた.る, たまり, ため","collect, gather, be in arrears"
"邑","ユウ, むら","village, rural community, right village radical (no. 163)"
"碧","ヘキ, ヒャク","blue, green"
"瓜","カ, ケ, うり","melon"
"槌","ツイ, つち","hammer, mallet"
"啄","タク, ツク, トク, ついば.む, つつ.く","peck, pick up"
"穣","ジョウ, わら, ゆたか","good crops, prosperity, 10**28"
"酉","ユウ, とり","west, bird, sign of the bird, 5-7PM, tenth sign of Chinese zodiac, sake radical (no. 164)"
"蹄","テイ, ひづめ","hoof"
"悌","テイ, ダイ","serving our elders"
"楕","ダ, タ","ellipse"
"詫","タ, わび, わび.しい, かこつ, わ.びる, わび.る","apologize"
"鱒","ソン, セン, ザン, ます","salmon trout"
"惚","コツ, ほけ.る, ぼ.ける, ほ.れる","fall in love with, admire, grow senile"
"藁","コウ, わら","straw"
"柚","ユ, ユウ, ジク, ゆず","citron"
"縞","コウ, しま, しろぎぬ","stripe"
"鱗","リン, うろこ, こけ, こけら","scales (fish)"
"釘","テイ, チョウ, くぎ","nail, tack, peg"
"弛","チ, シ, たる.む, たる.める, たゆ.む, ゆる.む, ゆる.み","slacken, relax"
"壬","ニン, ジン, イ, みずのえ","9th calendar sign"
"硯","ケン, ゲン, すずり","inkstone"
"蝦","カ, ゲ, えび","shrimp, prawn, lobster"
"娃","ア, アイ, ワ, うつく.しい","beautiful"
"斡","アツ, カン, ワツ, めぐ.る, めぐ.らす","go around, rule, administer"
"按","アン, おさ.える, しら.べる","hold, consider, investigate"
"謂","イ, い.う, いい, おも.う, いわゆる","reason, origin, history, oral tradition"
"亥","ガイ, カイ, い","sign of the hog, 9-11PM, twelfth sign of the Chinese zodiac"
"鰯","いわし","sardine, (kokuji)"
"胤","イン, たね","descendent, issue, offspring"
"迂","ウ","roundabout way"
"窺","キ, うかが.う, のぞく","lie in wait, spy on, reconnoiter"
"姥","ボ, モ, うば","old woman"
"厩","キュウ, うまや","barn, stable"
"閏","ジュン, うるう","intercalation, illegitimate throne"
"云","ウン, い.う, ここに","say"
"叡","エイ, あき.らか","intelligence, imperial"
"曳","エイ, ひ.く","pull, tug, jerk, admit, install, quote, refer to"
"甥","セイ, ソウ, ショウ, おい, むこ","nephew"
"襖","オウ, ふすま, あお","opaque sliding door"
"禾","カ, いね","two-branch tree radical (no. 115)"
"茄","カ","eggplant"
"嘩","カ, ケ, かまびす.しい","noisy"
"俄","ガ, にわか","sudden, abrupt, improvised"
"臥","ガ, ふせ.る, ふ.せる, ふ.す","bend down, bow, lie prostrate"
"駕","カ, ガ, かご, が.する, しのぐ, のる","vehicle, palanquin, litter, hitch up an animal"
"廻","カイ, エ, まわ.る, まわ.す, もとお.る, めぐ.る, めぐ.らす","round, game, revolve, go around, circumference"
"恢","カイ, ケ, ひろ.い","wide, large, enlarge"
"晦","カイ, つごもり, くら.い, みそか, くら.む","dark, disappear"
"鎧","カイ, ガイ, よろ.う, よろい","put on armor, arm oneself"
"浬","リ, かいり, のっと","knot, nautical mile"
