"釧","セン, くしろ, うでわ","bracelet"
"侍","ジ, シ, さむらい, はべ.る","waiter, samurai, wait upon, serve"
"尺","シャク, セキ, さし","shaku, Japanese foot, measure, scale, rule"
"峠","とうげ","mountain peak, mountain pass, climax, crest, (kokuji)"
"篤","トク, あつ.い","fervent, kind, cordial, serious, deliberate"
"肇","チョウ, ジョウ, トウ, はじ.める, はじめ","beginning"
"渇","カツ, かわ.く","thirst, dry up, parch"
"榎","カ, えのき","lotus tree, nettle tree, hackberry"
"俺","エン, おれ, われ","I, myself"
"劉","リュウ, ル, ころ.す","weapon of war, logging axe, kill en masse, peeling (paint off a wall, etc), sparse, faded"
"幡","マン, ハン, バン, ホン, はた","flag"
"諏","シュ, ス, そう, はか.る","consult"
"叔","シュク","uncle, youth"
"雌","シ, め-, めす, めん","feminine, female"
"亨","コウ, キョウ, ホウ, とお.る","pass through, go smoothly"
"堪","カン, タン, た.える, たま.る, こら.える, こた.える","withstand, endure, support, resist"
"叙","ジョ, つい.ず, ついで","confer, relate, narrate, describe"
"酢","サク, す","vinegar, sour, acid, tart"
"吟","ギン","versify, singing, recital"
"逓","テイ, かわ.る, たがいに","relay, in turn, sending"
"痕","コン, あと","mark, foot print"
"嶺","レイ, リョウ, みね","peak, summit"
"袖","シュウ, そで","sleeve, wing (building), extension, give cold shoulder"
"甚","ジン, はなは.だ, はなは.だしい","tremendously, very, great, exceedingly"
"喬","キョウ, たか.い","high, boasting"
"崔","ガイ, サイ, スイ, がけ","cliff, bluff, precipice"
"妖","ヨウ, あや.しい, なま.めく, わざわ.い","attractive, bewitching, calamity"
"琵","ビ, ヒ","glissando on strings, lute"
"琶","ハ, ベ, ワ","lute"
"聯","レン, つら.なる, つら.ねる","party, gang, clique"
"蘇","ソ, ス, よみがえ.る","be resuscitated, revived, perilla, shiso"
"闇","アン, オン, やみ, くら.い","get dark, gloom, disorder"
"崇","スウ, あが.める","adore, respect, revere, worship"
"漆","シツ, うるし","lacquer, varnish, seven"
"岬","コウ, みさき","headland, cape, spit, promontory"
"癖","ヘキ, くせ, くせ.に","mannerism, habit, vice, trait, fault, kink"
"愉","ユ, たの.しい, たの.しむ","pleasure, happy, rejoice"
"寅","イン, とら","sign of the tiger, 3-5AM, third sign of Chinese zodiac"
"捉","ソク, サク, とら.える","catch, capture"
"礁","ショウ","reef, sunken rock"
"乃","ナイ, ダイ, ノ, アイ, の, すなわ.ち, なんじ","from, possessive particle, whereupon, accordingly"
"洲","シュウ, ス, しま","continent, sandbar, island, country"
"屯","トン, たむろ","barracks, police station, camp, ton"
"樽","ソン, たる","barrel, cask, keg"
"樺","カ, かば, かんば","birch, dark red"
"槙","テン, シン, まき, こずえ","twig, ornamental evergreen"
"薩","サツ, サチ","salvation, Buddha"
"姻","イン","matrimony, marry"
"巌","ガン, いわ, いわお, けわ.しい","rock, crag, boulder"
"淀","テン, デン, よど.む","pool, eddy"
"麹","キク, こうじ","malt, yeast"
"賭","ト, か.ける, かけ","gamble, wager, bet"
"擬","ギ, まが.い, もど.き","mimic, aim (a gun) at, nominate, imitate"
"塀","ヘイ, ベイ","fence, wall, (kokuji)"
"唇","シン, くちびる","lips"
"睦","ボク, モク, むつ.まじい, むつ.む, むつ.ぶ","intimate, friendly, harmonious"
"閑","カン","leisure"
"胡","ウ, コ, ゴ, なんぞ","barbarian, foreign"
"幽","ユウ, ふか.い, かす.か, くら.い, しろ.い","seclude, confine to a room, deep, profound, secluded, faint, dark, tranquil, calm"
"峻","シュン, けわ.しい, たか.い","high, steep"
"曹","ソウ, ゾウ","office, official, comrade, fellow"
"哨","ショウ, みはり","scout, sentinel"
"詠","エイ, よ.む, うた.う","recitation, poem, song, composing"
