"蒋","ショウ, ソウ, まこも, はげ.ます","reed"
"曼","マン, バン, なが.い","wide, beautiful"
"附","フ, つ.ける, つ.く","affixed, attach, refer to, append"
"彪","ヒョウ, ヒュウ, あや","spotted, mottled, patterned, small tiger"
"撚","ネン, よ.る, よ.れる, より, ひね.る","twist, twine, kinky"
"噛","コウ, ゴウ, か.む, か.じる","chew, bite, gnaw"
"卯","ボウ, モウ, う","sign of the hare or rabbit, fourth sign of Chinese zodiac, 5-7AM, east"
"桝","ます","measuring box, (kokuji)"
"撫","ブ, フ, な.でる","stroke, pat, smooth down"
"喋","チョウ, トウ, しゃべ.る, ついば.む","talk, chat, chatter"
"但","タン, ただ.し","however, but"
"溢","イツ, こぼ.れる, あふ.れる, み.ちる","overflow, inundate, spill"
"闊","カツ, ひろ.い","wide"
"藏","ゾウ, ソウ, くら, おさ.める, かく.れる","hide, own, have, possess"
"浙","セツ","name of a Chinese river"
"彭","ホウ","swelling, sound of drum"
"淘","トウ, よな.げる","select"
"剃","テイ, まい, そ.る, す.る","shave"
"揃","セン, そろ.える, そろ.う, そろ.い, き.る","be complete, uniform, all present"
"綺","キ, あや","figured cloth, beautiful"
"徘","ハイ, さまよ.う","wander"
"巷","コウ, ちまた","fork in road, scene, arena, theater"
"竿","カン, さお","pole, rod, scale beam, violin neck"
"蟹","カイ, かに","crab"
"芋","ウ, いも","potato"
"袁","エン, オン","long kimono"
"舩","セン, ふね, ふな-","boat, ship, vessel"
"拭","ショク, シキ, ぬぐ.う, ふ.く","wipe, mop, swab"
"茜","セン, あかね","madder, red dye, Turkey red"
"凌","リョウ, しの.ぐ","endure, keep (rain)out, stave off, tide over, defy, slight, surpass"
"頬","キョウ, ほお, ほほ","cheeks, jaw"
"厨","シュウ, ズ, チュ, チュウ, くりや","kitchen"
"犀","サイ, セイ","rhinoceros"
"簑","サ, サイ, みの","a coat raincoat"
"皓","コウ, しろ.い, ひか.る","white, clear"
"甦","ソ, コウ, よみがえ.る","be resuscitated, revived"
"洸","コウ","sparkling water"
"毬","キュウ, いが, まり","burr, ball"
"檄","ケキ, げき.する, ふれぶみ","written appeal, manifesto"
"姚","ヨウ, チョウ, うつく.しい","beautiful"
